"mission_id","pack_key","pack_display","title","difficulty","age","players","duration","equipment","step_count","win_condition","task_specific_safety","parent_tip","kids_challenge","easy_variant_block","quick_round","multiplayer_role_preflight","phone_down_cue","indoor_small_space","potential_physical_risk","generic_footer_conflict","behavior_fit_score","evidence_label","recommended_action"
"11","Aim Master","Bullseye!","Sky Floater","1","3+","2","75s","paddles:2 balls:1","3","10 patient sky catches!","Slow and patient wins — no swinging.","Calm-down time after a wild day? This one's perfect.","Point your belly button at the target.","yes (Take it gently + Start easier + How high/how far + Grown-up first + When to stop)","Quick round — 45s","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","high throw / jump above reach","YES - task requires a throw above face/head height while the footer says ""Throw below face level""","7.5","LIVE_OBSERVED + SOURCE_VERIFIED","Scope the generic footer to this mission: replace the blanket line with this mission's own limit (it already has one in its hero cue)"
"12","Aim Master","Bullseye!","Heart-High","2","6+","2","75s","paddles:2 balls:1","3","10 chest-height catches in a row!","Aim for the paddle, not the person.","Picture a bullseye where the paddle is — aim there!","Use two hands to aim, then one to throw.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"13","Focus Control","Zen Mode","Silent Mode","1","4+","2","90s","paddles:2 balls:1","3","Reach 12 catches in pure silence!","Take a breath before each throw.","Surprisingly hard — and weirdly fun!","Freeze your feet like statues before each throw.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"14","Focus Control","Zen Mode","Tempo Master","2","4+","2","120s","paddles:2 balls:1","3","Finish all 20 throws — no drops!","Feet planted — only arms move.","Like switching gears in a song — slow first, then build!","Breathe slowly and count in your head.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","abrupt stop / freeze","no","8.5","LIVE_OBSERVED + SOURCE_VERIFIED","Add the Take-it-gently / Grown-up-first / When-to-stop block already used on missions 7, 11, 31 and 36"
"15","Focus Control","Zen Mode","Spotlight Eyes","1","3+","2","105s","paddles:2 balls:1","3","Reach 15 spotlight catches!","Keep the same distance — no surprises.","Saying it out loud helps you keep your eyes on the ball.","Freeze your feet like statues before each throw.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"16","Focus Control","Zen Mode","1 — 2 — 3 — GO!","1","4+","2","75s","paddles:2 balls:1","3","10 perfectly-timed catches!","Calm count, steady rhythm.","A steady count makes the timing easier.","Use a quiet voice to stay calm.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"17","Focus Control","Zen Mode","Mirror Mode","2","6+","2","75s","paddles:2 balls:1","3","8 mirror-and-catch rounds!","Keep poses comfortable — no awkward stretches.","Try silly positions — surprise your partner!","Breathe slowly and count in your head.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"18","Focus Control","Zen Mode","Count to 10","1","3+","2","90s","paddles:2 balls:1","3","Reach 10 catches with no drops!","Stress-free zone — restarting is part of the game.","A great first mission for younger players — build confidence one catch at a time.","Breathe slowly and count in your head.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"19","Team Duo","Team Up","Round Robin","2","4+","3–4","120s","paddles:3-4 balls:1","3","2 full minutes — count drops, beat your record!","Stay spaced out — no crowding.","Four paddles and four players make a great group game.","If someone drops, give a friendly high‑five.","no","no","full role card (who throws / who catches / who calls / when to switch / where to stand / only-two fallback)","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"20","Team Duo","Team Up","Crab Walk Relay","2","5+","4","165s","paddles:4 balls:1","3","Both lines hit 20 passes together!","Walk or crab-walk only — no running.","Slow and silly — short throws keep it safe!","Take turns and cheer for each other.","no","no","full role card (who throws / who catches / who calls / when to switch / where to stand / only-two fallback)","yes","either (indoor or out)","running / moving feet","no","8.5","LIVE_OBSERVED + SOURCE_VERIFIED","Add the Take-it-gently / Grown-up-first / When-to-stop block already used on missions 7, 11, 31 and 36"
"21","Team Duo","Team Up","Captain Says","2","6+","3–4","105s","paddles:3-4 balls:1","3","12 clean called catches!","Friendly voices — no fake-outs!","Make sure everyone gets a turn as captain!","If someone drops, give a friendly high‑five.","no","no","full role card (who throws / who catches / who calls / when to switch / where to stand / only-two fallback)","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"22","Team Duo","Team Up","Spin Squad","2","6+","4","150s","paddles:4 balls:1","3","20 catches with full team rotations!","Rotate calm — no bumping!","Shout SPIN! after each catch to keep the squad moving!","Call your partner’s name before you throw.","no","no","full role card (who throws / who catches / who calls / when to switch / where to stand / only-two fallback)","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"23","Team Duo","Team Up","Mix It Up","2","6+","4","150s","paddles:4 balls:1","3","Most clean swap cycles wins!","Swap calmly — no pushing.","4 paddles + 4 players makes this perfect!","Call your partner’s name before you throw.","no","no","full role card (who throws / who catches / who calls / when to switch / where to stand / only-two fallback)","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"24","Team Duo","Team Up","2v2 Squad Count","2","6+","4","210s","paddles:4 balls:1","3","Reach 40 total team catches!","Celebrate every clean catch — this is OUR score.","Uses ALL 4 paddles at once!","Call your partner’s name before you throw.","no","no","full role card (who throws / who catches / who calls / when to switch / where to stand / only-two fallback)","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"25","Indoor Compact","Indoor Fun","Chill Catch","1","3+","2","75s","paddles:2 balls:1","3","15 clean seated catches!","No standing — calm, controlled play.","Rainy day winner — also great for tired humans!","Stand on a small floor mark to stay steady.","no","no","pair copy + explicit ""no solo version"" statement","yes","yes - small space","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"26","Indoor Compact","Indoor Fun","Tiny Space","1","4+","2","60s","paddles:2 balls:1","3","12 clean catches in tiny range!","Watch out for lamps and shelves.","No-step rule = every catch is a real win.","Stand on a small floor mark to stay steady.","no","no","pair copy + explicit ""no solo version"" statement","yes","yes - small space","abrupt stop / freeze","no","8.5","LIVE_OBSERVED + SOURCE_VERIFIED","Add the Take-it-gently / Grown-up-first / When-to-stop block already used on missions 7, 11, 31 and 36"
"27","Indoor Compact","Indoor Fun","Secret Signal","1","4+","2–3","90s","paddles:2-3 balls:1","3","10 secret signal catches!","Keep signals simple — easy to spot.","Make up your own family secret signal!","Stand on a small floor mark to stay steady.","no","no","full role card (who throws / who catches / who calls / when to switch / where to stand / only-two fallback)","yes","yes - small space","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"28","Indoor Compact","Indoor Fun","Mind Reader","2","5+","2","105s","paddles:2 balls:1","3","Predict 8 out of 12 correctly!","Soft, predictable distance — surprise only the direction.","Pro tip: Watch the thrower's shoulders — they always tell!","Keep throws low and slow indoors.","no","no","pair copy + explicit ""no solo version"" statement","yes","yes - small space","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"29","Indoor Compact","Indoor Fun","Stuck-Foot Catch","1","3+","2","120s","paddles:2 balls:1","3","20 clean catches!","If throws get wild, slow down together.","The safest indoor mission — works in ANY space.","Keep throws low and slow indoors.","no","no","pair copy + explicit ""no solo version"" statement","yes","yes - small space","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"30","Indoor Compact","Indoor Fun","Left or Right!","2","5+","2","75s","paddles:2 balls:1","3","Score 8 correct side catches!","Throws straight and gentle — direction is the puzzle.","Just paddle + ears + reflexes!","Use short, easy throws in small spaces.","no","no","pair copy + explicit ""no solo version"" statement","yes","yes - small space","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"31","Beach/Park","Outdoor","Cloud Chaser","1","4+","2","90s","paddles:2 balls:1","3","10 sky catches!","Always throw UP — never AT each other.","Open sky = easier to track — perfect outdoor starter!","Watch the ball and use two hands if needed.","yes (Take it gently + Start easier + How high/how far + Grown-up first + When to stop)","Quick round — 45s","pair copy + explicit ""no solo version"" statement","yes","no - outdoor only","high throw / jump above reach + running / moving feet","YES - task requires a throw above face/head height while the footer says ""Throw below face level""","7.5","LIVE_OBSERVED + SOURCE_VERIFIED","Scope the generic footer to this mission: replace the blanket line with this mission's own limit (it already has one in its hero cue)"
"32","Beach/Park","Outdoor","Home Base","1","4+","2","60s","paddles:2 balls:1","3","10 base-only catches!","Pick safe, flat ground for your base.","Set bases 8-10 big steps apart for a real challenge!","Watch the ball and use two hands if needed.","no","no","pair copy + explicit ""no solo version"" statement","yes","no - outdoor only","increasing throw distance","YES - task pushes the players past the footer's ""keep 1-3 m distance""","7.0","LIVE_OBSERVED + SOURCE_VERIFIED","Scope the generic footer to this mission: replace the blanket line with this mission's own limit (it already has one in its hero cue)"
"33","Beach/Park","Outdoor","How Far Can You Throw?","2","5+","2","90s","paddles:2 balls:1","3","Beat your previous distance record!","Use big arcs at long distance — flat throws fall short.","Outdoor only — needs space to grow!","Watch the ball and use two hands if needed.","no","no","pair copy + explicit ""no solo version"" statement","yes","no - outdoor only","increasing throw distance","YES - task pushes the players past the footer's ""keep 1-3 m distance""","7.0","LIVE_OBSERVED + SOURCE_VERIFIED","Scope the generic footer to this mission: replace the blanket line with this mission's own limit (it already has one in its hero cue)"
"34","Beach/Park","Outdoor","Chase the Ball!","2","5+","2","75s","paddles:2 balls:1","3","7 running catches wins!","Pick a clear run zone — no obstacles!","Soft grass works best — flat ground only.","Watch the ball and use two hands if needed.","no","no","pair copy + explicit ""no solo version"" statement","yes","no - outdoor only","running / moving feet","no","8.5","LIVE_OBSERVED + SOURCE_VERIFIED","Add the Take-it-gently / Grown-up-first / When-to-stop block already used on missions 7, 11, 31 and 36"
"35","Beach/Park","Outdoor","Sky High Jump","2","6+","2","75s","paddles:2 balls:1","3","8 jump catches!","Jump on flat soft ground — grass is best.","The sweet spot is JUST above normal reach — not too high!","Watch the ball and use two hands if needed.","no","no","pair copy + explicit ""no solo version"" statement","yes","no - outdoor only","high throw / jump above reach","YES - task requires a throw above face/head height while the footer says ""Throw below face level""","7.0","LIVE_OBSERVED + SOURCE_VERIFIED","Scope the generic footer to this mission: replace the blanket line with this mission's own limit (it already has one in its hero cue)"
"36","Beach/Park","Outdoor","Marathon Rally","1","4+","2","180s","paddles:2 balls:1","3","Reach 20 catches without a drop!","Stop stepping back when throws get wild.","Try to beat your distance every time you play!","Watch the ball and use two hands if needed.","yes (Take it gently + Start easier + How high/how far + Grown-up first + When to stop)","Quick round — 60s","pair copy + explicit ""no solo version"" statement","yes","no - outdoor only","increasing throw distance","YES - task pushes the players past the footer's ""keep 1-3 m distance""","7.5","LIVE_OBSERVED + SOURCE_VERIFIED","Scope the generic footer to this mission: replace the blanket line with this mission's own limit (it already has one in its hero cue)"
